Symbol,Interval,RSI_Set,SL_TP,Return%,Trades,WinRate
BNB,4h,30/70,2%/6%,-13.781041233124164,12,16.666666666666664
ETH,4h,40/60,3%/6%,-13.832213039904136,59,37.28813559322034
DOGE,1h,30/70,2%/6%,-14.088070107481506,15,20.0
ARB,4h,45/55,5%/10%,-14.133758696457676,73,38.35616438356164
LINK,1h,35/65,3%/6%,-14.209399642736184,31,29.03225806451613
DOGE,1h,30/70,2%/4%,-14.33149976993251,15,26.666666666666668
ARB,4h,45/55,2%/4%,-14.660752751181654,88,36.36363636363637
LINK,1h,35/65,2%/4%,-14.857378105770739,34,29.411764705882355
SOL,4h,45/55,3%/6%,-14.958397792830477,74,37.83783783783784
MATIC,15m,45/55,5%/10%,-14.96940986554273,14,28.57142857142857
BNB,1h,30/70,3%/6%,-15.202819960099065,26,30.76923076923077
OP,1h,35/65,2%/6%,-15.383979124094163,25,24.0
ARB,1h,30/70,2%/4%,-15.41566527733687,16,25.0
DOGE,1h,35/65,2%/4%,-15.443489161062155,30,33.33333333333333
OP,15m,30/70,3%/6%,-15.449933377190245,8,12.5
LINK,15m,30/70,5%/10%,-15.76914200210931,6,16.666666666666664
MATIC,15m,30/70,3%/6%,-15.908588713425853,12,25.0
OP,15m,45/55,1%/2%,-16.182348613429678,65,29.230769230769234
ETH,4h,45/55,5%/10%,-16.212182462834562,60,36.666666666666664
ETH,15m,35/65,1%/2%,-16.271378044110293,21,19.047619047619047
DOGE,15m,45/55,3%/6%,-16.418885173129002,23,30.434782608695656
ETH,4h,30/70,3%/6%,-16.51995666540314,20,30.0
DOGE,1h,30/70,5%/10%,-16.54069779521069,14,28.57142857142857
MATIC,15m,35/65,2%/6%,-16.54237412645447,22,18.181818181818183
OP,4h,35/65,2%/4%,-16.606294979108018,23,30.434782608695656
BTC,1h,45/55,2%/4%,-16.637079116140942,46,30.434782608695656
SOL,15m,35/65,2%/4%,-16.717292615452756,17,29.411764705882355
SUI,4h,30/70,2%/6%,-16.87334197920818,13,23.076923076923077
MATIC,15m,40/60,3%/6%,-16.946261672308175,24,29.166666666666668
LINK,1h,35/65,2%/6%,-16.94885134790163,34,20.588235294117645
DOGE,15m,40/60,2%/6%,-16.96160819723209,25,20.0
ARB,1h,30/70,1%/2%,-17.000204768576836,16,18.75
OP,4h,35/65,3%/6%,-17.145484860952592,23,30.434782608695656
BNB,1h,35/65,2%/4%,-17.27579110339575,35,28.57142857142857
MATIC,4h,30/70,3%/6%,-17.365597731984746,3,0.0
LINK,15m,40/60,5%/10%,-17.777693150788718,9,22.22222222222222
SOL,1h,40/60,2%/4%,-17.857782270685142,61,32.78688524590164
SOL,15m,30/70,2%/4%,-17.86235766833987,10,20.0
MATIC,15m,45/55,3%/6%,-17.914104345962848,26,30.76923076923077
ARB,1h,40/60,1%/2%,-17.928367285555566,58,34.48275862068966
BTC,4h,40/60,5%/10%,-18.037978538580944,39,33.33333333333333
DOGE,15m,35/65,3%/6%,-18.176032459931584,16,25.0
ARB,15m,30/70,5%/10%,-18.26541816411708,6,16.666666666666664
DOGE,15m,40/60,3%/6%,-18.372723478169213,19,26.31578947368421
MATIC,4h,40/60,2%/4%,-18.38817891768125,15,26.666666666666668
BNB,15m,45/55,5%/10%,-18.394793161696814,7,14.285714285714285
MATIC,1h,30/70,2%/6%,-18.476854871455828,11,9.090909090909092
BNB,4h,45/55,2%/4%,-18.89117973307198,61,34.42622950819672
SOL,15m,45/55,2%/6%,-19.103628079509555,21,23.809523809523807
LINK,1h,40/60,1%/2%,-19.106079046678108,67,31.343283582089555
ETH,15m,45/55,2%/6%,-19.316135503976522,23,17.391304347826086
ARB,1h,30/70,5%/10%,-19.521083233621653,15,26.666666666666668
BNB,4h,30/70,2%/4%,-19.607670767206876,12,16.666666666666664
BNB,1h,40/60,2%/4%,-19.65395112271484,50,30.0
ARB,1h,45/55,1%/2%,-19.729977026310063,101,36.633663366336634
BTC,1h,45/55,2%/6%,-19.762185814649275,37,21.62162162162162
LINK,15m,45/55,3%/6%,-19.80320842573941,18,22.22222222222222
MATIC,1h,45/55,3%/6%,-19.99071174784989,55,30.909090909090907
LINK,1h,35/65,1%/2%,-20.316490446465966,37,27.027027027027028
OP,15m,40/60,1%/2%,-20.39607877520989,42,23.809523809523807
ETH,15m,45/55,1%/2%,-20.419341603214015,46,26.08695652173913
ARB,4h,40/60,5%/10%,-20.54684596321282,52,38.46153846153847
ETH,1h,40/60,2%/4%,-20.64881861246474,57,31.57894736842105
ARB,15m,40/60,2%/6%,-20.659499367605598,29,20.689655172413794
SUI,1h,30/70,1%/2%,-20.80651174784333,18,22.22222222222222
ETH,15m,40/60,1%/2%,-20.88683654787434,37,21.62162162162162
ARB,1h,45/55,2%/4%,-21.19100957704534,90,32.22222222222222
SOL,15m,35/65,2%/6%,-21.390533510177022,13,15.384615384615385
BTC,1h,40/60,2%/4%,-21.447552741240838,41,26.82926829268293
ETH,15m,45/55,2%/4%,-21.46333232631514,27,22.22222222222222
BTC,1h,45/55,5%/10%,-21.541175114783265,12,25.0
ARB,15m,35/65,3%/6%,-21.63904974237455,17,23.52941176470588
SOL,15m,40/60,2%/4%,-21.700913077322102,21,28.57142857142857
SOL,1h,30/70,2%/4%,-21.764116898961188,17,17.647058823529413
DOGE,1h,30/70,3%/6%,-21.807135194972634,14,21.428571428571427
SUI,4h,30/70,2%/4%,-22.24333052107195,13,23.076923076923077
SUI,15m,40/60,5%/10%,-22.41898349099105,12,25.0
SUI,15m,35/65,5%/10%,-22.419190605664017,9,22.22222222222222
SUI,4h,35/65,2%/6%,-22.59739709762833,25,28.000000000000004
BNB,1h,30/70,5%/10%,-22.61837974081427,19,26.31578947368421
ARB,15m,35/65,2%/4%,-22.627703079398316,22,18.181818181818183
OP,1h,35/65,3%/6%,-23.12014712352534,24,25.0
BNB,1h,45/55,2%/4%,-23.161724114872094,56,30.357142857142854
MATIC,1h,40/60,2%/6%,-23.21856908990086,56,21.428571428571427
SUI,1h,30/70,2%/6%,-23.522449510077966,18,16.666666666666664
SUI,4h,30/70,1%/2%,-23.589231864116776,13,23.076923076923077
ETH,1h,45/55,1%/2%,-23.62760015946816,91,31.868131868131865
SOL,1h,30/70,2%/6%,-23.958960153807812,17,11.76470588235294
SOL,15m,40/60,2%/6%,-24.0911530725224,17,17.647058823529413
SUI,1h,45/55,3%/6%,-24.125699093651225,68,32.35294117647059
ARB,1h,30/70,2%/6%,-24.295477455319954,16,12.5
MATIC,4h,35/65,2%/6%,-24.390729036936523,8,0.0
ARB,1h,30/70,3%/6%,-25.100022978519938,16,18.75
ETH,15m,35/65,5%/10%,-25.55505984592779,5,0.0
DOGE,1h,40/60,2%/4%,-25.692039998508015,53,32.075471698113205
SUI,4h,35/65,3%/6%,-25.86640107754282,25,32.0
SOL,15m,30/70,2%/6%,-25.903241100828573,9,0.0
ETH,15m,40/60,2%/6%,-26.10846365375961,22,13.636363636363635
BNB,4h,45/55,5%/10%,-26.377110941275706,40,32.5
SOL,1h,35/65,5%/10%,-26.405216583026586,24,29.166666666666668
ARB,4h,45/55,2%/6%,-26.466053224616225,87,28.735632183908045
DOGE,1h,35/65,2%/6%,-26.51665657465886,30,20.0
MATIC,1h,35/65,3%/6%,-26.909007655326217,26,23.076923076923077
SUI,1h,35/65,2%/6%,-27.115949433371046,35,20.0
MATIC,15m,40/60,5%/10%,-27.13908365834634,14,21.428571428571427
ETH,1h,30/70,1%/2%,-27.154989050110938,19,5.263157894736842
SUI,1h,35/65,1%/2%,-27.161218213990978,38,26.31578947368421
SUI,1h,30/70,3%/6%,-27.749729072692947,17,17.647058823529413
ARB,15m,40/60,2%/4%,-27.76788799371634,34,23.52941176470588
SOL,1h,40/60,2%/6%,-27.860738613034027,57,22.807017543859647
MATIC,4h,45/55,5%/10%,-27.98267203251623,13,23.076923076923077
SUI,4h,35/65,5%/10%,-28.04148017247121,24,29.166666666666668
MATIC,1h,45/55,5%/10%,-28.07609527258303,36,30.555555555555557
SOL,15m,40/60,3%/6%,-28.157115949000534,15,20.0
ARB,15m,35/65,5%/10%,-28.15915412907035,9,11.11111111111111
SUI,1h,30/70,2%/4%,-28.174903397125945,18,16.666666666666664
SOL,15m,45/55,3%/6%,-28.46595196997348,18,22.22222222222222
ETH,4h,45/55,3%/6%,-28.56032856384319,76,35.526315789473685
ETH,15m,40/60,3%/6%,-28.58908798188796,17,17.647058823529413
ETH,1h,40/60,1%/2%,-28.754994624484286,67,26.865671641791046
BNB,1h,45/55,3%/6%,-28.84477690748347,45,28.888888888888886
ETH,15m,45/55,3%/6%,-28.89753070743631,18,16.666666666666664
ETH,1h,35/65,2%/6%,-28.920970261273055,36,19.444444444444446
SOL,15m,35/65,3%/6%,-29.01932210283743,13,15.384615384615385
ARB,15m,40/60,3%/6%,-29.626073374109957,25,24.0
MATIC,15m,30/70,5%/10%,-30.615458313367515,9,11.11111111111111
ETH,15m,45/55,5%/10%,-30.705605568799704,9,11.11111111111111
SUI,1h,35/65,2%/4%,-30.778847716528357,35,22.857142857142858
MATIC,1h,45/55,2%/6%,-30.941689967640617,66,21.21212121212121
ARB,15m,45/55,2%/6%,-30.94751590983309,36,16.666666666666664
MATIC,4h,35/65,5%/10%,-31.187550777610728,6,0.0
DOGE,1h,40/60,2%/6%,-31.282262276607252,50,22.0
SUI,1h,35/65,3%/6%,-31.523145232609124,33,24.242424242424242
SUI,4h,35/65,2%/4%,-31.65518900306955,25,32.0
ETH,1h,35/65,2%/4%,-31.878892251289372,37,21.62162162162162
SOL,15m,30/70,3%/6%,-32.32485480689526,9,0.0
ETH,1h,35/65,3%/6%,-32.43677489125303,32,25.0
MATIC,15m,35/65,3%/6%,-32.51655726771122,21,19.047619047619047
MATIC,15m,35/65,5%/10%,-32.771882896227545,12,16.666666666666664
SUI,4h,40/60,2%/6%,-33.11945064291249,58,27.586206896551722
MATIC,4h,35/65,3%/6%,-33.54574373584067,8,0.0
MATIC,4h,45/55,2%/6%,-33.62994965369882,21,14.285714285714285
MATIC,4h,45/55,3%/6%,-33.675185801223016,19,21.052631578947366
SUI,4h,45/55,5%/10%,-33.76467427079699,64,32.8125
ETH,1h,30/70,2%/6%,-33.86923564371892,18,5.555555555555555
MATIC,4h,40/60,2%/6%,-34.27649875593603,15,6.666666666666667
ETH,15m,40/60,2%/4%,-34.84108315396908,25,12.0
ETH,1h,35/65,1%/2%,-34.933185867170074,40,15.0
ARB,15m,45/55,2%/4%,-35.032522869398356,41,21.951219512195124
SUI,4h,40/60,5%/10%,-35.04038913944251,54,31.48148148148148
SOL,1h,35/65,2%/4%,-35.50819111582834,35,20.0
ETH,1h,30/70,2%/4%,-35.51535979436217,18,5.555555555555555
SUI,1h,45/55,1%/2%,-35.72823819472946,89,31.46067415730337
MATIC,1h,35/65,2%/6%,-35.96402788540735,29,10.344827586206897
DOGE,1h,35/65,3%/6%,-36.49487154823322,28,21.428571428571427
SUI,1h,40/60,1%/2%,-37.12799916686738,62,27.419354838709676
DOGE,1h,40/60,3%/6%,-37.436145156839565,47,27.659574468085108
SOL,15m,30/70,5%/10%,-37.44418932978117,7,0.0
SOL,1h,35/65,2%/6%,-37.50733463443889,35,14.285714285714285
SOL,1h,40/60,5%/10%,-37.71822882361064,35,28.57142857142857
SOL,1h,45/55,5%/10%,-37.93807630684351,38,28.947368421052634
SOL,1h,35/65,3%/6%,-38.22387127779262,32,21.875
OP,1h,40/60,2%/6%,-38.445317983855205,54,20.37037037037037
ARB,15m,45/55,3%/6%,-38.60674188455177,27,18.51851851851852
LINK,15m,45/55,5%/10%,-38.642417740479814,9,0.0
MATIC,4h,40/60,3%/6%,-38.84642989180878,13,7.6923076923076925
DOGE,1h,45/55,2%/4%,-39.60425737763887,78,30.76923076923077
ARB,15m,45/55,5%/10%,-39.61610520658447,17,17.647058823529413
MATIC,4h,40/60,5%/10%,-40.56606243966125,11,9.090909090909092
ETH,1h,30/70,3%/6%,-40.79245178232204,17,5.88235294117647
SOL,15m,35/65,5%/10%,-40.82150975288513,8,0.0
SUI,4h,35/65,1%/2%,-41.12838763091026,26,23.076923076923077
ETH,15m,40/60,5%/10%,-41.401509740874836,9,0.0
SOL,1h,40/60,3%/6%,-41.68645715742169,50,26.0
SOL,15m,40/60,5%/10%,-42.20935475054964,9,0.0
OP,15m,35/65,5%/10%,-43.03136274416895,9,0.0
SUI,4h,40/60,2%/4%,-43.60545620959897,58,32.758620689655174
SUI,4h,40/60,3%/6%,-43.83177108824772,57,31.57894736842105
ARB,15m,40/60,5%/10%,-43.83475578230824,12,8.333333333333332
SUI,4h,40/60,1%/2%,-43.987208249670196,59,32.20338983050847
SOL,1h,45/55,2%/4%,-44.43032777253578,82,26.82926829268293
SUI,1h,40/60,3%/6%,-45.079580600845,51,25.49019607843137
SOL,15m,45/55,5%/10%,-45.75122439327797,10,0.0
OP,1h,45/55,2%/6%,-46.11948951371477,75,20.0
MATIC,1h,40/60,5%/10%,-46.132661951614374,32,25.0
SUI,1h,45/55,2%/6%,-46.171693859627645,74,22.972972972972975
SOL,1h,45/55,2%/6%,-47.85142529747026,74,18.91891891891892
SUI,4h,45/55,1%/2%,-49.03631984961951,79,30.37974683544304
DOGE,1h,45/55,2%/6%,-49.40069534245632,67,19.402985074626866
OP,1h,40/60,3%/6%,-50.14771125601223,48,22.916666666666664
SUI,4h,45/55,2%/6%,-51.23406856943112,76,26.31578947368421
SUI,1h,40/60,2%/6%,-52.08106244012545,54,16.666666666666664
SUI,1h,40/60,2%/4%,-53.04592934125692,57,21.052631578947366
OP,1h,40/60,5%/10%,-53.40830433363658,38,26.31578947368421
OP,1h,45/55,3%/6%,-54.04311305849819,64,25.0
MATIC,1h,35/65,5%/10%,-54.14156028519358,23,17.391304347826086
SUI,4h,45/55,2%/4%,-54.282536812829065,76,31.57894736842105
SOL,1h,45/55,3%/6%,-55.188857099929564,63,23.809523809523807
SUI,1h,45/55,2%/4%,-55.31652295581998,80,26.25
DOGE,1h,45/55,3%/6%,-56.24274960361814,60,25.0
SUI,4h,45/55,3%/6%,-60.98472067501133,75,29.333333333333332
OP,1h,45/55,5%/10%,-61.29521546056542,41,24.390243902439025
